time	motionlevel
01232013153141318	0.00000325520841215621
01232013153142117	0.00000325520841215621
01232013153142517	0.00000325520841215621
01232013153143077	0.00000325520841215621
01232013153143237	0.00000976562478172127
01232013153143640	0.0400097668170929
01232013153143719	0.0000130208336486248
01232013153143798	0.0494498685002327
01232013153144517	0.00000325520841215621
01232013153144757	0.00000325520841215621
01232013153147636	0.00402669282630086
01232013153147733	0.000957031268626451
01232013153147893	0.000279947911622003
01232013153147973	0.213492840528488
01232013153148053	0.31246092915535
01232013153148133	0.345625013113022
01232013153148212	0.0843294262886047
01232013153148294	0.246676430106163
01232013153148373	0.489957690238953
01232013153148452	0.487958997488022
01232013153148533	0.28487303853035
01232013153148613	0.327483713626862
01232013153148693	0.171643882989883
01232013153148773	0.311979174613953
01232013153148852	0.0567871108651161
01232013153148932	0.0328255221247673
01232013153149013	0.00555338524281979
01232013153149093	0.000511067686602473
01232013153149253	0.00000651041682431242
01232013153149333	0.0000390624991268851
01232013153150214	0.00000325520841215621
01232013153150935	0.00000325520841215621
01232013153152134	0.00000325520841215621
01232013153153334	0.00000325520841215621
01232013153153413	0.00000325520841215621
01232013153153493	0.00000325520841215621
01232013153154293	0.00000325520841215621
01232013153154374	0.00000651041682431242
01232013153154455	0.00000325520841215621
01232013153154534	0.00000325520841215621
01232013153154613	0.00000325520841215621
01232013153154693	0.00000325520841215621
01232013153155014	0.00000325520841215621
01232013153155174	0.00165364588610828
01232013153155253	0.00571289053186774
01232013153155333	0.000921223952900618
01232013153156054	0.00000325520841215621
01232013153156773	0.00000325520841215621
01232013153157014	0.00000325520841215621
01232013153158374	0.000608723959885538
01232013153158453	0.00276367180049419
01232013153159173	0.00000325520841215621
01232013153159333	0.00000325520841215621
01232013153159493	0.00000325520841215621
01232013153159573	0.0000227864584303461
01232013153159654	0.0000358072902599815
01232013153159733	0.0000651041700621136
01232013153159814	0.0000325520850310568
01232013153159974	0.0000227864584303461
01232013153200294	0.00000651041682431242
01232013153200374	0.0000130208336486248
01232013153200854	0.0000130208336486248
01232013153200934	0.00000325520841215621
01232013153201014	0.00000325520841215621
01232013153201735	0.00000651041682431242
01232013153201895	0.0000130208336486248
01232013153201974	0.0000292968743451638
01232013153202055	0.00000976562478172127
01232013153202214	0.0000390624991268851
01232013153202454	0.00000976562478172127
01232013153203015	0.00000325520841215621
01232013153203094	0.00000325520841215621
01232013153203334	0.00000325520841215621
01232013153203494	0.00000325520841215621
01232013153203895	0.0000130208336486248
01232013153204293	0.00000976562478172127
01232013153204774	0.00000651041682431242
01232013153205174	0.00000325520841215621
01232013153205414	0.00000976562478172127
01232013153205656	0.00000325520841215621
01232013153205814	0.0000195312495634425
01232013153205910	0.0000130208336486248
01232013153206469	0.0000195312495634425
01232013153206870	0.0000195312495634425
01232013153207110	0.00000651041682431242
01232013153208150	0.00000651041682431242
01232013153208309	0.00000325520841215621
01232013153208870	0.0000195312495634425
01232013153210391	0.00000325520841215621
01232013153211118	0.00000325520841215621
01232013153211191	0.000592447933740914
01232013153211271	0.00041341147152707
01232013153211351	0.00000325520841215621
01232013153211434	0.00000325520841215621
01232013153211671	0.105537109076977
01232013153211751	0.00366536458022892
01232013153213433	0.0469628907740116
01232013153213511	0.00896484404802322
01232013153213590	0.00820963550359011
01232013153213671	0.00000325520841215621
01232013153214710	0.000377604155801237
01232013153215271	0.00000325520841215621
01232013153215430	0.0401920564472675
01232013153215510	0.0752311199903488
01232013153215831	0.00000976562478172127
01232013153216310	0.00000325520841215621
01232013153216791	0.00000325520841215621
01232013153217031	0.00000325520841215621
01232013153217751	0.00000325520841215621
01232013153217991	0.00000325520841215621
01232013153218471	0.00000651041682431242
01232013153218870	0.00000325520841215621
01232013153219270	0.00000325520841215621
01232013153219671	0.00000325520841215621
01232013153219751	0.00000325520841215621
01232013153220313	0.00000651041682431242
01232013153222071	0.00000325520841215621
01232013153222312	0.00000976562478172127
01232013153223992	0.00000325520841215621
01232013153224727	0.00000325520841215621
01232013153225927	0.00000325520841215621
01232013153226967	0.000260416680248454
01232013153227047	0.00000325520841215621
01232013153227447	0.00000325520841215621
01232013153227847	0.00000325520841215621
01232013153228647	0.00000325520841215621
01232013153229049	0.00000325520841215621
01232013153229767	0.00000325520841215621
01232013153230247	0.00000325520841215621
01232013153230407	0.00000651041682431242
01232013153230968	0.00000325520841215621
01232013153231530	0.00000325520841215621
01232013153233207	0.00000651041682431242
01232013153233367	0.00000325520841215621
01232013153234967	0.00000325520841215621
01232013153236247	0.00000325520841215621
01232013153236407	0.00000325520841215621
01232013153237447	0.00000325520841215621
01232013153237847	0.00000325520841215621
01232013153238328	0.00000325520841215621
01232013153238487	0.00000325520841215621
01232013153240489	0.00000325520841215621
01232013153242424	0.00000325520841215621
01232013153242504	0.00000325520841215621
